{ 09 41 A1 AB 1E 00 43 1D 00 7B 00 00 00 }, Delta:17.137ms, Position:[7851,7491], Pressure:123, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 5F 1E 00 47 1D 00 93 00 00 00 }, Delta:0.282ms, Position:[7775,7495], Pressure:147, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 14 1E 00 51 1D 00 AE 00 00 00 }, Delta:0.197ms, Position:[7700,7505], Pressure:174, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 C9 1D 00 60 1D 00 C4 00 00 00 }, Delta:1.147ms, Position:[7625,7520], Pressure:196, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 80 1D 00 74 1D 00 D6 00 00 00 }, Delta:1.381ms, Position:[7552,7540], Pressure:214, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 3C 1D 00 8D 1D 00 E8 00 00 00 }, Delta:2.142ms, Position:[7484,7565], Pressure:232, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 FD 1C 00 AC 1D 00 F0 00 00 00 }, Delta:3.047ms, Position:[7421,7596], Pressure:240, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 C2 1C 00 CC 1D 00 F8 00 00 00 }, Delta:2.854ms, Position:[7362,7628], Pressure:248, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 8D 1C 00 EE 1D 00 FC 00 00 00 }, Delta:2.856ms, Position:[7309,7662], Pressure:252, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 5A 1C 00 13 1E 00 02 01 00 00 }, Delta:17.193ms, Position:[7258,7699], Pressure:258, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 2F 1C 00 3B 1E 00 06 01 00 00 }, Delta:0.464ms, Position:[7215,7739], Pressure:262, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 06 1C 00 65 1E 00 0A 01 00 00 }, Delta:0.589ms, Position:[7174,7781], Pressure:266, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 E5 1B 00 8E 1E 00 0B 01 00 00 }, Delta:0.294ms, Position:[7141,7822], Pressure:267, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 C7 1B 00 B8 1E 00 10 01 00 00 }, Delta:0.304ms, Position:[7111,7864], Pressure:272, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 AF 1B 00 E4 1E 00 16 01 00 00 }, Delta:1.982ms, Position:[7087,7908], Pressure:278, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 9D 1B 00 0F 1F 00 18 01 00 00 }, Delta:7.505ms, Position:[7069,7951], Pressure:280, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 90 1B 00 3D 1F 00 19 01 00 00 }, Delta:2.808ms, Position:[7056,7997], Pressure:281, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 89 1B 00 6A 1F 00 1F 01 00 00 }, Delta:0.694ms, Position:[7049,8042], Pressure:287, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 87 1B 00 99 1F 00 23 01 00 00 }, Delta:2.117ms, Position:[7047,8089], Pressure:291, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 8B 1B 00 CD 1F 00 30 01 00 00 }, Delta:12.834ms, Position:[7051,8141], Pressure:304, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 94 1B 00 05 20 00 3B 01 00 00 }, Delta:0.134ms, Position:[7060,8197], Pressure:315, PenButtons:[False False], ReportType:VeikkTabletReport
